Région;Ancienne région;Département;Zone d'emploi;EPCI;Nom commune;Commune;Grand secteur d'activité;Secteur NA17;Secteur NA38;Secteur NA88;APE;Code région;Code ancienne région;Code département;Code zone d'emploi;Code EPCI;Code commune;Code APE;Nombre d'établissements 2006;Effectifs salariés 2006;Nombre d'établissements 2007;Effectifs salariés 2007;Nombre d'établissements 2008;Effectifs salariés 2008;Nombre d'établissements 2009;Effectifs salariés 2009;Nombre d'établissements 2010;Effectifs salariés 2010;Nombre d'établissements 2011;Effectifs salariés 2011;Nombre d'établissements 2012;Effectifs salariés 2012;Nombre d'établissements 2013;Effectifs salariés 2013;Nombre d'établissements 2014;Effectifs salariés 2014;Nombre d'établissements 2015;Effectifs salariés 2015;Nombre d'établissements 2016;Effectifs salariés 2016;Nombre d'établissements 2017;Effectifs salariés 2017;Nombre d'établissements 2018;Effectifs salariés 2018;Nombre d'établissements 2019;Effectifs salariés 2019;Nombre d'établissements 2020;Effectifs salariés 2020;Nombre d'établissements 2021;Effectifs salariés 2021;Nombre d'établissements 2022;Effectifs salariés 2022;Nombre d'établissements 2023;Effectifs salariés 2023;Nombre d'établissements 2024;Effectifs salariés 2024
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS5 Autres services marchands hors intérim;HZ Transports;HZ Transports et entreposage;49 Transports terrestres et transport par conduites;4939B Autres transports routiers de voyageurs;11;11;92;1109;200054781;92009;4939B;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS5 Autres services marchands hors intérim;HZ Transports;HZ Transports et entreposage;49 Transports terrestres et transport par conduites;4942Z Services de déménagement;11;11;92;1109;200054781;92009;4942Z;;;;;;;;;;;;;;;;;;;;;;;1;3;;;;;;;;;;;;;;
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS5 Autres services marchands hors intérim;HZ Transports;HZ Transports et entreposage;53 Activités de poste et de courrier;5310Z Activités de poste dans le cadre d'une obligation de service universel;11;11;92;1109;200054781;92009;5310Z;2;55;2;50;2;50;2;47;2;40;1;14;1;15;1;14;1;14;1;15;1;18;1;17;1;26;1;26;1;25;1;27;1;21;1;3;;
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS4 Hôtellerie-restauration;IZ Hébergement et restauration;IZ Hébergement et restauration;56 Restauration;5629A Restauration collective sous contrat;11;11;92;1109;200054781;92009;5629A;2;11;3;18;4;30;4;39;4;49;4;42;4;45;5;68;4;33;5;78;4;78;5;81;5;78;5;75;4;65;4;55;6;78;6;60;7;64
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS5 Autres services marchands hors intérim;JZ Information et communication;JB Télécommunications;61 Télécommunications;6190Z Autres activités de télécommunication;11;11;92;1109;200054781;92009;6190Z;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS5 Autres services marchands hors intérim;"MN Activités scientifiques et techniques ; soutien et services administratifs";MC autres activités scientifiques et techniques;74 autres activités spécialisées, scientifiques et techniques;7410Z Activités spécialisées de design;11;11;92;1109;200054781;92009;7410Z;;;;;;;2;2;3;4;2;3;2;3;4;7;2;2;3;3;2;2;2;2;1;2;2;3;2;3;3;4;4;6;4;7;4;7
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS5 Autres services marchands hors intérim;"MN Activités scientifiques et techniques ; soutien et services administratifs";NZ Activités de services administratifs et de soutien;79 Activités des agences de voyage, voyagistes, services de réservation et activités connexes;7990Z Autres services de réservation et activités connexes;11;11;92;1109;200054781;92009;7990Z;;;;;;;;;;;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS5 Autres services marchands hors intérim;"MN Activités scientifiques et techniques ; soutien et services administratifs";NZ Activités de services administratifs et de soutien;82 Activités administratives et autres activités de soutien aux entreprises;8230Z Organisation de foires, salons professionnels et congrès;11;11;92;1109;200054781;92009;8230Z;1;1;;;2;2;2;2;2;2;2;2;3;3;3;3;1;0;1;2;1;2;1;3;1;4;2;6;2;9;2;6;1;4;3;10;2;10
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS7 Services non marchands;OQ Administrations publiques, défense, enseignement, santé humaine et action sociale;QB Action sociale et hébergement médico-social;87 Hébergement médico-social et social;8710A Hébergement médicalisé pour personnes âgées;11;11;92;1109;200054781;92009;8710A;2;82;2;81;2;83;3;131;3;137;3;140;3;151;3;158;3;148;3;152;3;140;3;137;3;139;3;145;3;142;3;132;3;169;3;135;3;134
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS5 Autres services marchands hors intérim;RU autres activités de services;RZ Arts, spectacles et activités récréatives;93 Activités sportives, récréatives et de loisirs;9311Z Gestion d'installations sportives;11;11;92;1109;200054781;92009;9311Z;1;30;1;30;1;33;1;30;1;38;1;34;1;34;1;36;1;35;1;35;1;36;1;35;1;36;1;35;1;36;1;35;2;32;2;37;2;42
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS5 Autres services marchands hors intérim;RU autres activités de services;RZ Arts, spectacles et activités récréatives;93 Activités sportives, récréatives et de loisirs;9319Z Autres activités liées au sport;11;11;92;1109;200054781;92009;9319Z;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS5 Autres services marchands hors intérim;RU autres activités de services;SZ autres activités de services;94 Activités des organisations associatives;9491Z Activités des organisations religieuses;11;11;92;1109;200054781;92009;9491Z;2;6;2;7;2;6;2;10;2;13;2;8;2;7;1;12;1;5;2;10;2;13;2;15;2;16;2;16;2;12;2;9;2;12;2;10;2;11
